dataset,classifier,metric,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,author
tic-tac-toe,perceptron,f1_score,0.4,0.55,0.51,0.4,0.4,0.44,0.34,0.47,0.53,0.5,0.41,0.41,0.32,0.54,0.31,0.52,0.39,0.52,0.51,0.54,leandro-menoni
tic-tac-toe,perceptron,accuracy,0.66,0.57,0.52,0.61,0.66,0.44,0.41,0.66,0.63,0.51,0.66,0.67,0.38,0.59,0.36,0.66,0.63,0.52,0.66,0.56,leandro-menoni
tic-tac-toe,svm,f1_score,0.46,0.41,0.45,0.42,0.5,0.42,0.39,0.42,0.45,0.45,0.45,0.48,0.44,0.4,0.42,0.46,0.44,0.46,0.46,0.44,leandro-menoni
tic-tac-toe,svm,accuracy,0.68,0.65,0.71,0.62,0.69,0.69,0.61,0.64,0.66,0.71,0.68,0.69,0.67,0.64,0.66,0.7,0.65,0.68,0.67,0.65,leandro-menoni
tic-tac-toe,naive_bayes,f1_score,0.6,0.59,0.59,0.52,0.59,0.59,0.61,0.58,0.58,0.57,0.59,0.55,0.59,0.59,0.57,0.59,0.62,0.52,0.59,0.53,leandro-menoni
tic-tac-toe,naive_bayes,accuracy,0.73,0.72,0.73,0.66,0.72,0.73,0.7,0.7,0.71,0.74,0.72,0.7,0.72,0.71,0.71,0.74,0.72,0.68,0.72,0.67,leandro-menoni
tic-tac-toe,decision_tree,f1_score,0.86,0.85,0.85,0.86,0.85,0.8,0.83,0.93,0.92,0.85,0.84,0.81,0.93,0.85,0.86,0.84,0.84,0.87,0.8,0.88,leandro-menoni
tic-tac-toe,decision_tree,accuracy,0.88,0.86,0.87,0.86,0.86,0.83,0.84,0.94,0.93,0.87,0.85,0.83,0.93,0.86,0.88,0.86,0.85,0.89,0.82,0.89,leandro-menoni
tic-tac-toe,knn,f1_score,0.83,0.82,0.81,0.77,0.74,0.76,0.74,0.8,0.84,0.78,0.78,0.77,0.83,0.78,0.77,0.71,0.83,0.77,0.8,0.79,leandro-menoni
tic-tac-toe,knn,accuracy,0.86,0.84,0.85,0.81,0.8,0.82,0.78,0.83,0.86,0.83,0.82,0.81,0.86,0.81,0.82,0.78,0.85,0.82,0.83,0.82,leandro-menoni
wine,perceptron,accuracy,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9444444444444444,0.9714285714285714,0.9428571428571428,1.0,0.9444444444444444,0.9722222222222222,0.9714285714285714,0.9714285714285714,0.9444444444444444,0.9722222222222222,1.0,0.9714285714285714,0.9714285714285714,larissa-v2
wine,perceptron,f1_score,0.974320987654321,0.9163636363636364,0.970961887477314,0.9696394686907022,1.0,1.0,0.9717813051146384,0.9487179487179488,0.9726327312534208,0.943249299719888,1.0,0.9487179487179488,0.974320987654321,0.973161567364466,0.9701104613385314,0.9457411645054664,0.970961887477314,1.0,0.973161567364466,0.9701104613385314,larissa-v2
wine,svm,accuracy,0.9722222222222222,0.9444444444444444,0.9722222222222222,0.9714285714285714,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9722222222222222,0.9722222222222222,1.0,1.0,0.9714285714285714,larissa-v2
